,l,s,i,D,phi,descriptive_term,sphericity,elongation ratio,flatness ratio,shape
1,250,50,160,153.33,-7.0,Cobbles,0.4,0.64,0.31,Bladed
2,430,40,170,213.33,-8.0,Boulder,0.28,0.4,0.24,Bladed
3,280,70,100,150.0,-7.0,Cobbles,0.56,0.36,0.7,Rod
4,150,50,100,100.0,-7.0,Cobbles,0.55,0.67,0.5,Oblate
5,250,30,150,143.33,-7.0,Cobbles,0.29,0.6,0.2,Bladed
6,150,30,50,76.67,-6.0,Cobbles,0.49,0.33,0.6,Bladed
7,150,60,90,100.0,-7.0,Cobbles,0.64,0.6,0.67,Rod
8,130,30,60,73.33,-6.0,Cobbles,0.49,0.46,0.5,Bladed
9,30,20,10,20.0,-4.0,Cobbles,1.1,0.33,2.0,Rod
10,20,10,10,13.33,-4.0,Cobbles,0.79,0.5,1.0,Rod
